batch_size,learning_rate,rank,alpha,parameters,trainable_parameters,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second
8,5e-05,1,16,4387202,1024,24.4678,599.644,75.037,2616141208032.0,0.002975936272954629,4.0,4.567411422729492,0.7107843137254902,0.8033333333333333,1.478,276.04,34.505
8,3e-05,1,16,4387202,1024,24.7358,593.149,74.225,2616141208032.0,0.0024711189381697077,4.0,4.528491497039795,0.7107843137254902,0.8039867109634552,1.537,265.454,33.182
16,0.0003,1,16,4387202,1024,16.6177,882.913,55.363,2767006989504.0,0.020808158750119418,4.0,4.25525426864624,0.7009803921568627,0.7918088737201365,1.4273,285.854,18.216
16,0.0001,1,16,4387202,1024,16.0301,915.277,57.392,2767006989504.0,0.006206131782338438,4.0,4.473796844482422,0.7034313725490197,0.7979966611018364,1.4298,285.361,18.185
16,5e-05,1,16,4387202,1024,16.103,911.136,57.132,2767006989504.0,0.0027149098074954487,4.0,4.719704627990723,0.7083333333333334,0.8,1.9399,210.317,13.403
16,3e-05,1,16,4387202,1024,16.1543,908.24,56.951,2767006989504.0,0.0034855052535219685,4.0,4.620175361633301,0.7058823529411765,0.7986577181208053,1.347,302.898,19.302
32,0.0003,1,16,4387202,1024,12.5015,1173.618,36.796,2912609085552.0,0.007526095535444177,4.0,4.527937889099121,0.7181372549019608,0.8092868988391376,1.2985,314.202,10.011
32,0.0001,1,16,4387202,1024,12.1942,1203.198,37.723,2912609085552.0,0.003353501143662826,4.0,4.691136837005615,0.7058823529411765,0.7972972972972973,1.3235,308.271,9.822
32,5e-05,1,16,4387202,1024,12.2295,1199.722,37.614,2912609085552.0,0.0018788526887479036,4.0,4.580809116363525,0.7107843137254902,0.802675585284281,1.3419,304.036,9.687
32,3e-05,1,16,4387202,1024,12.4823,1175.421,36.852,2912609085552.0,0.0014809977749119633,4.0,4.548851013183594,0.7132352941176471,0.8046744574290484,1.3214,308.772,9.838
64,0.0003,1,16,4387202,1024,10.39,1412.125,22.329,3043236046320.0,0.006264472829884496,4.0,4.644733905792236,0.7034313725490197,0.7966386554621848,1.3272,307.416,5.274
64,0.0001,1,16,4387202,1024,10.4238,1407.553,22.257,3043236046320.0,0.0010414887219667435,4.0,4.613442420959473,0.7156862745098039,0.8073089700996677,1.3257,307.763,5.28
64,5e-05,1,16,4387202,1024,10.4706,1401.257,22.157,3043236046320.0,0.0009929192862634,4.0,4.594429016113281,0.7205882352941176,0.8106312292358804,1.3296,306.862,5.265
64,3e-05,1,16,4387202,1024,10.3729,1414.458,22.366,3043236046320.0,0.0009460409396681292,4.0,4.566781520843506,0.7205882352941176,0.8106312292358804,1.3201,309.057,5.302
