run,batch_size,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second
4,16,0.0001,13.0088,1127.849,70.721,0.5020559891410495,4.0,0.5896832346916199,0.7328431372549019,0.8299531981279251,0.384,1062.508,67.709
4,16,5e-05,13.0218,1126.73,70.651,0.5531564961309018,4.0,0.568650484085083,0.7205882352941176,0.8246153846153846,0.3686,1107.022,70.546
4,16,3e-05,13.0901,1120.845,70.282,0.580059698353643,4.0,0.5735155940055847,0.696078431372549,0.8126888217522659,0.4573,892.262,56.86
4,32,0.0003,8.6304,1700.039,53.3,0.43501543791397757,4.0,0.6537364721298218,0.7377450980392157,0.8304278922345484,0.3161,1290.868,41.131
4,32,0.0001,8.4821,1729.761,54.232,0.5322120666503907,4.0,0.5717409253120422,0.7254901960784313,0.8255451713395638,0.3367,1211.745,38.61
4,32,5e-05,8.5241,1721.242,53.965,0.5740605893342391,4.0,0.56805819272995,0.7107843137254902,0.8201219512195121,0.3425,1191.12,37.952
4,32,3e-05,8.1473,1800.831,56.46,0.5975138125212296,4.0,0.5790587663650513,0.696078431372549,0.8138138138138138,0.3234,1261.697,40.201
4,64,0.0003,6.4758,2265.662,35.826,0.4707464020827721,4.0,0.5971444249153137,0.75,0.8386075949367089,0.37,1102.577,18.917
4,64,0.0001,6.2882,2333.244,36.894,0.5603954052102977,4.0,0.5612186193466187,0.7303921568627451,0.8297213622291022,0.3421,1192.727,20.463
4,64,5e-05,6.3114,2324.672,36.759,0.5961887096536571,4.0,0.5777505040168762,0.6887254901960784,0.8078668683812406,0.426,957.781,16.433
4,64,3e-05,6.4548,2273.054,35.943,0.6165741229879445,4.0,0.5916686058044434,0.7034313725490197,0.8217967599410898,0.3187,1280.34,21.967
4,128,0.0003,5.5378,2649.427,20.947,0.5189324411852606,4.0,0.5759289264678955,0.7352941176470589,0.8291139240506329,0.3864,1056.015,10.353
4,128,0.0001,5.9707,2457.336,19.428,0.5897226004764952,4.0,0.5748432874679565,0.6911764705882353,0.8073394495412844,0.3317,1229.852,12.057
4,128,5e-05,5.619,2611.149,20.644,0.6204661007585197,4.0,0.5952083468437195,0.6936274509803921,0.8169838945827232,0.3758,1085.77,10.645
4,128,3e-05,5.6765,2584.68,20.435,0.6398460125101024,4.0,0.609874427318573,0.6838235294117647,0.8122270742358079,0.3673,1110.715,10.889
5,8,0.0003,22.0262,666.117,83.355,0.4129647107425598,4.0,1.0637654066085815,0.7132352941176471,0.8059701492537313,0.4582,890.485,111.311
5,8,0.0001,22.3315,657.01,82.216,0.47345523792674077,4.0,0.6656573414802551,0.7377450980392157,0.8325508607198748,0.5082,802.755,100.344
5,8,5e-05,22.6634,647.386,81.012,0.5309766798497285,4.0,0.587859570980072,0.7279411764705882,0.8268330733229329,0.5091,801.387,100.173
5,8,3e-05,22.5447,650.796,81.438,0.5637553262814458,4.0,0.5771942734718323,0.7107843137254902,0.8195718654434251,0.4738,861.141,107.643
5,16,0.0003,13.1647,1114.493,69.884,0.40669037362803584,4.0,0.7519146800041199,0.7377450980392157,0.8243021346469622,0.4572,892.361,56.866
5,16,0.0001,12.9836,1130.038,70.858,0.5020559891410495,4.0,0.5896832346916199,0.7328431372549019,0.8299531981279251,0.376,1085.046,69.145
5,16,5e-05,13.278,1104.986,69.288,0.5531564961309018,4.0,0.568650484085083,0.7205882352941176,0.8246153846153846,0.4396,928.17,59.148
5,16,3e-05,13.0379,1125.333,70.563,0.580059698353643,4.0,0.5735155940055847,0.696078431372549,0.8126888217522659,0.4132,987.501,62.929
5,32,0.0003,8.5426,1717.5,53.847,0.43501543791397757,4.0,0.6537364721298218,0.7377450980392157,0.8304278922345484,0.4033,1011.777,32.238
5,32,0.0001,8.4948,1727.181,54.151,0.5322120666503907,4.0,0.5717409253120422,0.7254901960784313,0.8255451713395638,0.3365,1212.415,38.631
5,32,5e-05,8.4707,1732.079,54.305,0.5740605893342391,4.0,0.56805819272995,0.7107843137254902,0.8201219512195121,0.6018,677.968,21.602
5,32,3e-05,8.4803,1730.122,54.243,0.5975138125212296,4.0,0.5790587663650513,0.696078431372549,0.8138138138138138,0.3281,1243.547,39.623
5,64,0.0003,6.6544,2204.847,34.864,0.4707464020827721,4.0,0.5971444249153137,0.75,0.8386075949367089,0.4326,943.038,16.18
5,64,0.0001,6.5386,2243.915,35.482,0.5603954052102977,4.0,0.5612186193466187,0.7303921568627451,0.8297213622291022,0.3309,1232.83,21.151
5,64,5e-05,6.2692,2340.329,37.006,0.5961887096536571,4.0,0.5777505040168762,0.6887254901960784,0.8078668683812406,0.3313,1231.379,21.127
5,64,3e-05,6.3101,2325.148,36.766,0.6165741229879445,4.0,0.5916686058044434,0.7034313725490197,0.8217967599410898,0.3187,1280.11,21.963
5,128,0.0003,5.5922,2623.677,20.743,0.5189324411852606,4.0,0.5759289264678955,0.7352941176470589,0.8291139240506329,0.385,1059.874,10.391
5,128,0.0001,5.9377,2470.984,19.536,0.5897226004764952,4.0,0.5748432874679565,0.6911764705882353,0.8073394495412844,0.2925,1394.987,13.676
5,128,5e-05,5.8876,2492.004,19.702,0.6204661007585197,4.0,0.5952083468437195,0.6936274509803921,0.8169838945827232,0.388,1051.643,10.31
5,128,3e-05,5.7684,2543.498,20.109,0.6398460125101024,4.0,0.609874427318573,0.6838235294117647,0.8122270742358079,0.3928,1038.768,10.184
