rank,alpha,batch_size,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_parameters,trainable_parameters
1,4,32,0.0001,27.2083,539.248,16.907,0.6079051142153533,4.0,0.5883457064628601,0.6936274509803921,0.8131539611360239,0.8108,503.187,16.033,28772866,8192
1,4,32,5e-05,27.1344,540.716,16.953,0.6220824531886888,4.0,0.6041429042816162,0.6911764705882353,0.8136094674556213,0.8079,505.036,16.092,28772866,8192
1,4,32,3e-05,27.3141,537.159,16.841,0.6329900990361753,4.0,0.619671642780304,0.6813725490196079,0.8104956268221575,0.8133,501.644,15.984,28772866,8192
1,4,64,0.0003,27.3969,535.534,8.468,0.5869005795182853,4.0,0.5650606155395508,0.7034313725490197,0.8147013782542113,0.8226,495.993,8.51,28772866,8192
1,4,64,0.0001,27.2324,538.77,8.519,0.6130040925124596,4.0,0.5966395139694214,0.6887254901960784,0.8107302533532041,0.8103,503.508,8.639,28772866,8192
1,4,64,5e-05,27.2321,538.777,8.519,0.6280040083260372,4.0,0.6148672103881836,0.6838235294117647,0.8116788321167884,0.9166,445.115,7.637,28772866,8192
1,4,64,3e-05,27.2424,538.573,8.516,0.6378304053997171,4.0,0.6272815465927124,0.6838235294117647,0.8122270742358079,0.8109,503.128,8.632,28772866,8192
1,4,128,0.0003,27.3673,536.114,4.239,0.6008039671799232,4.0,0.5810950994491577,0.696078431372549,0.8138138138138138,0.8143,501.048,4.912,28772866,8192
1,4,128,0.0001,27.4066,535.345,4.233,0.6258300912791285,4.0,0.6057059168815613,0.6862745098039216,0.8128654970760234,0.8124,502.214,4.924,28772866,8192
1,4,128,5e-05,27.4469,534.56,4.226,0.6399878140153556,4.0,0.6268945336341858,0.6838235294117647,0.8122270742358079,0.8398,485.835,4.763,28772866,8192
1,4,128,3e-05,27.4202,535.079,4.23,0.6488546831854458,4.0,0.6348541378974915,0.6838235294117647,0.8122270742358079,0.8125,502.141,4.923,28772866,8192
1,8,8,0.0003,32.5806,450.329,56.352,0.6005526523964078,4.0,0.5782995223999023,0.6985294117647058,0.8133535660091047,0.8433,483.79,60.474,28772866,8192
1,8,8,0.0001,32.713,448.507,56.124,0.5706732506845512,4.0,0.5479676723480225,0.7205882352941176,0.821875,0.843,483.987,60.498,28772866,8192
1,8,8,5e-05,32.6778,448.99,56.185,0.5890675629925364,4.0,0.5746865272521973,0.7058823529411765,0.8187311178247734,0.8929,456.914,57.114,28772866,8192
1,8,8,3e-05,32.6696,449.102,56.199,0.6018698532337197,4.0,0.5877864360809326,0.696078431372549,0.8143712574850299,0.8461,482.233,60.279,28772866,8192
1,8,16,0.0003,27.8752,526.346,33.004,0.5856606027354365,4.0,0.5588973760604858,0.7034313725490197,0.815267175572519,0.8224,496.08,31.613,28772866,8192
1,8,16,0.0001,27.8326,527.152,33.055,0.579561830603558,4.0,0.5507184267044067,0.7132352941176471,0.8180404354587869,0.8129,501.877,31.982,28772866,8192
1,8,16,5e-05,28.0309,523.423,32.821,0.5985754759415336,4.0,0.5786328315734863,0.7009803921568627,0.8168168168168168,0.8292,492.028,31.355,28772866,8192
1,8,16,3e-05,27.9653,524.65,32.898,0.6104452879532524,4.0,0.5939685106277466,0.6911764705882353,0.8119402985074626,0.8567,476.224,30.348,28772866,8192
1,8,32,0.0003,27.2161,539.093,16.902,0.5798824144446332,4.0,0.5546112656593323,0.7254901960784313,0.8271604938271605,0.8183,498.598,15.887,28772866,8192
1,8,32,0.0001,27.2317,538.783,16.892,0.5932605245838994,4.0,0.5705456733703613,0.7034313725490197,0.8174962292609351,0.8051,506.765,16.147,28772866,8192
1,8,32,5e-05,27.1493,540.42,16.943,0.6081944341244905,4.0,0.5888358950614929,0.6911764705882353,0.811377245508982,0.8039,507.555,16.172,28772866,8192
1,8,32,3e-05,27.2238,538.94,16.897,0.6184411090353261,4.0,0.5999850630760193,0.6887254901960784,0.8118518518518518,0.8434,483.738,15.413,28772866,8192
1,8,64,0.0003,27.3987,535.5,8.468,0.5740620843295393,4.0,0.545530378818512,0.7205882352941176,0.8213166144200627,1.0768,378.887,6.501,28772866,8192
1,8,64,0.0001,27.2836,537.759,8.503,0.5967608484728583,4.0,0.5769509673118591,0.6985294117647058,0.8144796380090498,0.8093,504.168,8.65,28772866,8192
1,8,64,5e-05,27.2833,537.766,8.503,0.6132000232564991,4.0,0.5969734191894531,0.6887254901960784,0.8107302533532041,0.8101,503.667,8.641,28772866,8192
1,8,64,3e-05,27.4556,534.39,8.45,0.6241117017022495,4.0,0.6091057658195496,0.6838235294117647,0.8111273792093704,0.8096,503.981,8.647,28772866,8192
1,8,128,0.0003,27.422,535.045,4.23,0.5881425923314588,4.0,0.5692946910858154,0.6887254901960784,0.8061068702290076,0.8448,482.934,4.735,28772866,8192
1,8,128,0.0001,27.4249,534.989,4.23,0.6101535928660425,4.0,0.5897188782691956,0.6936274509803921,0.8131539611360239,0.8126,502.12,4.923,28772866,8192
1,8,128,5e-05,27.3272,536.902,4.245,0.6259969513991783,4.0,0.6059934496879578,0.6862745098039216,0.8128654970760234,0.8212,496.821,4.871,28772866,8192
1,8,128,3e-05,27.5335,532.879,4.213,0.63691757465231,4.0,0.6235664486885071,0.6838235294117647,0.8122270742358079,0.8247,494.722,4.85,28772866,8192
1,16,8,0.0003,32.6981,448.711,56.15,0.6384337847009464,4.0,0.6272850632667542,0.6813725490196079,0.8104956268221575,0.8666,470.787,58.848,28772866,8192
1,16,8,0.0001,32.4113,452.681,56.647,0.583233170519727,4.0,0.5753971934318542,0.7009803921568627,0.8111455108359134,0.8677,470.228,58.778,28772866,8192
1,16,8,5e-05,32.5056,451.369,56.483,0.5711921658650982,4.0,0.5484032034873962,0.7205882352941176,0.822429906542056,1.0282,396.803,49.6,28772866,8192
1,16,8,3e-05,32.6217,449.761,56.281,0.5836040023105596,4.0,0.560847282409668,0.7083333333333334,0.8177641653905053,1.0244,398.266,49.783,28772866,8192
1,16,16,0.0003,27.8,527.77,33.094,0.6268735139266305,4.0,0.6179866194725037,0.6911764705882353,0.8096676737160121,0.8549,477.26,30.414,28772866,8192
1,16,16,0.0001,27.9098,525.694,32.963,0.574357041068699,4.0,0.5489091277122498,0.7254901960784313,0.8255451713395638,0.8071,505.54,32.216,28772866,8192
1,16,16,5e-05,27.8768,526.316,33.002,0.5798291247823965,4.0,0.5511048436164856,0.7156862745098039,0.8198757763975155,0.8147,500.791,31.913,28772866,8192
